YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,
2015,1,1,4,AA,N787AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0855,-5.00,17.00,7.00,1230,1237,7.00,0.00,,0.00,390.00,402.00,378.00,2475.00,,,,,,
2015,1,2,5,AA,N795AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0850,-10.00,15.00,9.00,1230,1211,-19.00,0.00,,0.00,390.00,381.00,357.00,2475.00,,,,,,
2015,1,3,6,AA,N788AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0853,-7.00,15.00,13.00,1230,1151,-39.00,0.00,,0.00,390.00,358.00,330.00,2475.00,,,,,,
2015,1,4,7,AA,N791AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0853,-7.00,14.00,19.00,1230,1218,-12.00,0.00,,0.00,390.00,385.00,352.00,2475.00,,,,,,
2015,1,5,1,AA,N783AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0853,-7.00,27.00,24.00,1230,1222,-8.00,0.00,,0.00,390.00,389.00,338.00,2475.00,,,,,,
2015,1,6,2,AA,N799AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0856,-4.00,85.00,4.00,1235,1300,25.00,0.00,,0.00,395.00,424.00,335.00,2475.00,0.00,0.00,25.00,0.00,0.00,
2015,1,7,3,AA,N784AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0859,-1.00,29.00,12.00,1235,1221,-14.00,0.00,,0.00,395.00,382.00,341.00,2475.00,,,,,,
2015,1,8,4,AA,N787AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0856,-4.00,26.00,3.00,1235,1158,-37.00,0.00,,0.00,395.00,362.00,333.00,2475.00,,,,,,
2015,1,9,5,AA,N795AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0901,1.00,43.00,4.00,1235,1241,6.00,0.00,,0.00,395.00,400.00,353.00,2475.00,,,,,,
2015,1,10,6,AA,N790AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0903,3.00,37.00,10.00,1235,1235,0.00,0.00,,0.00,395.00,392.00,345.00,2475.00,,,,,,
2015,1,11,7,AA,N786AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0854,-6.00,14.00,14.00,1235,1159,-36.00,0.00,,0.00,395.00,365.00,337.00,2475.00,,,,,,
2015,1,12,1,AA,N790AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0853,-7.00,35.00,8.00,1235,1230,-5.00,0.00,,0.00,395.00,397.00,354.00,2475.00,,,,,,
2015,1,13,2,AA,N796AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0854,-6.00,21.00,4.00,1235,1155,-40.00,0.00,,0.00,395.00,361.00,336.00,2475.00,,,,,,
2015,1,14,3,AA,N793AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0856,-4.00,22.00,6.00,1235,1126,-69.00,0.00,,0.00,395.00,330.00,302.00,2475.00,,,,,,
2015,1,15,4,AA,N790AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0852,-8.00,66.00,13.00,1235,1231,-4.00,0.00,,0.00,395.00,399.00,320.00,2475.00,,,,,,
2015,1,16,5,AA,N797AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0900,0.00,37.00,8.00,1235,1206,-29.00,0.00,,0.00,395.00,366.00,321.00,2475.00,,,,,,
2015,1,17,6,AA,N795AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0852,-8.00,14.00,8.00,1235,1157,-38.00,0.00,,0.00,395.00,365.00,343.00,2475.00,,,,,,
2015,1,18,7,AA,N786AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0916,16.00,23.00,17.00,1235,1236,1.00,0.00,,0.00,395.00,380.00,340.00,2475.00,,,,,,
2015,1,19,1,AA,N785AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0854,-6.00,16.00,9.00,1235,1218,-17.00,0.00,,0.00,395.00,384.00,359.00,2475.00,,,,,,
2015,1,20,2,AA,N797AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0853,-7.00,12.00,9.00,1235,1203,-32.00,0.00,,0.00,395.00,370.00,349.00,2475.00,,,,,,
2015,1,21,3,AA,N789AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0853,-7.00,17.00,5.00,1235,1142,-53.00,0.00,,0.00,395.00,349.00,327.00,2475.00,,,,,,
2015,1,22,4,AA,N790AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0852,-8.00,21.00,13.00,1235,1150,-45.00,0.00,,0.00,395.00,358.00,324.00,2475.00,,,,,,
2015,1,23,5,AA,N790AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0854,-6.00,18.00,6.00,1235,1146,-49.00,0.00,,0.00,395.00,352.00,328.00,2475.00,,,,,,
2015,1,24,6,AA,N787AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,1043,103.00,41.00,7.00,1235,1354,79.00,0.00,,0.00,395.00,371.00,323.00,2475.00,0.00,79.00,0.00,0.00,0.00,
2015,1,25,7,AA,N791AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0903,3.00,15.00,19.00,1235,1145,-50.00,0.00,,0.00,395.00,342.00,308.00,2475.00,,,,,,
2015,1,26,1,AA,N783AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0854,-6.00,61.00,8.00,1235,1240,5.00,0.00,,0.00,395.00,406.00,337.00,2475.00,,,,,,
2015,1,27,2,AA,,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,,,,,1235,,,1.00,B,0.00,395.00,,,2475.00,,,,,,
2015,1,28,3,AA,,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,,,,,1235,,,1.00,B,0.00,395.00,,,2475.00,,,,,,
2015,1,29,4,AA,N794AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0855,-5.00,20.00,13.00,1235,1217,-18.00,0.00,,0.00,395.00,382.00,349.00,2475.00,,,,,,
2015,1,30,5,AA,N792AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0858,-2.00,44.00,8.00,1235,1242,7.00,0.00,,0.00,395.00,404.00,352.00,2475.00,,,,,,
2015,1,31,6,AA,N793AA,1,12478,JFK,New York NY,12892,LAX,Los Angeles CA,0900,0854,-6.00,36.00,5.00,1235,1222,-13.00,0.00,,0.00,395.00,388.00,347.00,2475.00,,,,,,
2015,1,1,4,AA,N795AA,2,12892,LAX,Los Angeles CA,12478,JFK,New York NY,0900,0856,-4.00,16.00,8.00,1735,1651,-44.00,0.00,,0.00,335.00,295.00,271.00,2475.00,,,,,,
